user_id,item_list
0,14745 2345 5891 12765 1945 14866 8580 7015 7647 16899
1,1425 574 10748 5070 15810 1826 4750 15143 183 12969
2,16387 15235 15164 3678 486 17341 10073 15781 2982 9870
4,13393 1201 16533 15590 10776 11580 16876 9000 13106 8551
5,9641 11933 11513 12187 8028 14980 8030 13174 8514 4291
6,13055 13554 11750 2822 4005 11849 14135 2251 829 14912
7,823 1982 4274 7163 6196 14791 13801 14481 13607 16036
8,18140 11502 10599 17394 17442 5773 7303 2267 18016 15773
9,11231 16190 523 12945 1546 260 12718 16133 4468 3334
10,13416 86 14399 673 18422 18370 268 12835 1517 16544
11,2730 15900 5733 16344 9696 495 841 1116 13957 10480
12,7282 171 15970 14450 10640 17978 11028 6312 14646 9812
13,2747 13354 5917 12313 11917 12422 6076 6170 6164 6165
14,5725 16365 12266 16463 8012 141 17914 17508 13733 9329
15,13235 15090 10922 12272 17148 4745 11901 17707 14457 8737
16,9712 3444 8998 12445 13997 13986 15193 5452 9861 8351
17,11911 1541 7648 15387 16262 9023 1469 6257 7927 11916
18,2835 3291 1522 12187 72 1497 7909 864 12368 11258
19,16748 6605 6584 17947 1231 4121 3263 13588 2256 14948
20,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
21,7368 13 11602 2209 2847 9558 12301 1124 2089 18241
22,12257 17561 9604 18368 8873 11145 14839 2778 8547 2775
23,8638 3572 8666 5142 10067 2301 17955 7581 6289 8982 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
25,16383 14001 4882 4075 13970 17726 13727 12342 13956 3340
26,4361 3922 17955 197 9224 15892 8982 3572 3565 10227 
27,400 17776 13474 13916 874 10341 13976 15473 13986 13454
28,1107 16489 9747 6167 6161 6162 6163 6164 6165 6166
29,16849 9638 12430 13506 1359 10345 1117 9731 16109 7739
30,14646 787 15042 14803 16759 7032 11768 14758 17986 9965
31,5876 1977 3233 16753 5704 1501 12325 2966 3217 0
32,16428 4266 16973 10121 4180 3983 17235 16109 12670 4474
33,2417 2516 9292 12241 7227 18461 5982 903 1043 17276
34,8435 13638 11448 17675 14691 2267 5781 11768 1814 16072
35,18153 9415 271 11944 15897 17562 47 15329 17093 11228
36,5089 4191 7997 11772 13931 13635 12779 2771 17521 11475
39,13505 4329 9407 7783 14370 8352 13546 3182 12310 14043
40,14415 15768 4555 14280 1241 2687 10282 926 273 332
41,3922 4361 6292 5113 8982 8481 9103 5645 17955 4034 
42,4361 3922 8982 17955 5562 10466 4657 6289 3565 5113 
43,17263 10378 1833 1786 16121 341 2264 11617 1787 11556
44,903 15329 6165 6159 6160 6161 6162 6163 6164 18494
45,725 7695 9274 15180 9360 9177 9216 16446 5601 13033
46,8638 17955 12469 7496 5297 3922 197 4361 8982 2301 
47,12743 1635 1818 11970 1208 17040 13288 10852 1225 7420
48,3922 4361 10466 17955 197 3806 5113 8982 4657 5296 
49,724 16485 17440 5026 17028 6167 6162 6163 6164 6165
50,9670 10309 3233 3473 17088 12223 3464 13084 7867 2349
51,724 16485 17440 5026 17028 6167 6162 6163 6164 6165
52,10696 11655 11695 14489 15874 224 6998 11203 12261 11703
53,10725 7305 12096 14577 17031 313 15988 1981 16362 7805
54,3389 4374 7929 11583 1546 1818 5981 17174 2221 6164
55,1324 7839 1807 12779 11612 10655 7893 10387 9937 15623
56,11626 17899 685 7827 16488 17016 136 2929 14346 2097
57,2148 4965 17 13656 11098 12403 7822 15629 4223 3352
59,18332 8282 12230 1502 13098 11335 8988 17318 11389 11854
60,9907 12 6849 17290 6160 6161 6162 6163 6164 6165
61,4496 11402 13246 6304 10913 3238 13218 8153 18261 10050
62,292 17171 5891 9281 13405 13629 6173 6172 6171 6170
63,9092 5726 1948 13555 12184 10653 4190 9586 33 10028
64,12646 3195 2982 1664 3792 14673 5490 7313 17139 9681
65,15911 2747 15592 5796 12478 9409 10556 14239 260 3495
66,13967 3386 3187 3188 3008 1441 9155 13516 6163 6159
67,8638 3572 8666 5142 10067 2301 17955 7581 6289 8982 
68,8638 17955 12469 7496 5297 3922 197 4361 8982 2301 
69,12631 11774 4939 1235 12840 13101 16355 998 2567 1594
71,12286 5345 2006 10839 2539 4813 10993 3353 16323 7369
72,2606 18014 13994 15702 11763 5962 5791 2622 9902 2627
74,13348 11403 3360 2302 5916 12053 3426 666 6260 12433
75,7771 1704 7847 13491 15886 7043 14537 11672 5980 17978
76,10067 9461 4657 8666 189 724 8481 9002 7602 5142 
77,3447 11768 16671 16619 1206 771 12455 9520 17470 13588
78,725 18231 7604 2246 2151 18236 18238 394 2317 14506
79,299 17272 6849 8115 3461 14324 17263 16848 2063 17283
80,16649 15179 3474 11916 2508 15317 985 15015 17108 1700
81,8876 11583 11586 18126 14638 11443 17174 11871 12993 1741
82,8638 3572 8666 5142 10067 2301 17955 7581 6289 8982 
84,10267 341 2263 14381 14346 15624 0 13722 5506 1337
85,12012 6956 10292 2982 10289 2678 18322 14887 3790 5587
86,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
87,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
88,9093 319 1468 9344 13711 3905 9843 9891 9360 1144
89,3106 7013 2725 10030 11991 15987 868 8145 16042 12801
90,17355 9997 16640 13810 10851 17242 4569 16472 14577 2226
92,4361 3922 8982 17955 5562 10466 4657 6289 3565 5113 
93,12516 12800 10970 11015 16574 6870 7205 13102 12133 11072
94,12816 10801 15846 10838 1425 1115 1901 7061 9352 15277
95,15120 8385 9712 3886 3260 10353 16633 2728 10385 10815
96,16118 12044 5829 5914 5477 9818 12902 2205 3281 2041
97,3223 7446 15711 14201 2775 160 3089 7441 15519 14287
98,17517 2801 17075 14666 10069 9388 269 2046 5962 14376
102,2694 4332 12217 6098 13944 2508 13374 12344 13789 7087
103,9749 2562 12993 17355 14581 7638 14697 7807 17688 8545
104,15043 18131 11876 15603 1999 9824 6400 1795 1700 18089
105,16214 14344 14464 14998 17338 4964 8574 14756 16400 12486
106,341 13638 2368 318 18494 6165 6161 6162 6163 6164
108,10871 16188 9806 14487 16258 11469 14806 9690 16217 15825
109,3646 4962 17688 8545 15508 2948 17986 13676 9520 6163
110,3797 12892 9650 14130 10477 13908 4980 2336 11631 10556
111,657 7335 10744 14393 11974 7458 8750 5355 17786 15095
112,15213 1830 11034 10446 17235 14950 11114 15275 13405 16488
113,12998 11270 12051 12141 16396 15399 14682 9754 11351 839
114,560 6792 8965 7021 17843 2429 4979 1979 7780 16205
115,3414 360 16722 11022 1157 1106 14973 13410 18367 11521
116,17466 11277 15942 16485 1499 603 17362 3030 10436 12946
117,3268 11672 7087 14739 3200 17358 13000 11923 11721 18461
118,15614 8648 14529 8030 13656 5495 5366 17236 1860 3155
119,17018 15218 1548 16490 600 16504 18405 14132 1680 4121
120,13032 5109 10735 6185 7970 4382 1167 9634 8963 5410
122,14567 4682 294 10873 3174 11988 1884 1531 1190 16715
123,1985 17278 15844 4886 11792 15098 13715 460 17065 1322
124,10274 13270 16711 17493 12821 5996 9436 12136 1927 1025
125,5297 10227 12469 192 4634 9461 8186 8481 5291 197 
126,3416 10195 1946 15768 12189 9559 11983 9776 14234 364
127,2956 18494 6167 6161 6162 6163 6164 6165 6166 6168
128,16092 3233 4941 10061 6010 9498 1537 6690 16453 17101
129,5369 5072 11764 6410 4493 12794 3216 5917 11686 1107
130,11929 8563 11920 8238 18181 7500 14436 18268 12229 6931
131,15892 5113 187 4634 4657 7661 192 8186 197 7310 
132,8982 4634 4657 3806 17955 5645 8638 4361 15892 197 
134,2343 14011 5729 16676 2116 6669 13017 4251 12638 2317
135,724 16485 17440 5026 17028 6167 6162 6163 6164 6165
136,7216 2511 16272 16455 2013 3761 13410 13144 827 3729
137,4634 5645 11733 5297 7199 14847 12469 15892 11734 4657 
138,7369 3664 7633 10549 14006 14819 11694 12538 17015 6616
139,2497 3474 1827 3214 2927 9403 10069 1645 11426 5414
140,11351 7803 15296 11576 11534 14630 8827 10622 13638 3264
141,13 7963 15640 13877 9065 10273 15138 16157 18439 16015
142,16324 5962 11636 8289 3035 516 12416 12190 12145 9374
143,10425 13293 8004 1579 10503 11131 7770 868 5450 13262
144,8638 6289 197 2301 8982 3565 5113 8666 12469 10067 
145,10024 17950 9319 10653 11073 172 10260 1494 13158 4964
146,13369 15217 315 16740 11808 15521 4180 11853 13124 16609
149,5726 12735 10351 6792 6078 17681 7401 11250 4498 15969
150,6768 5674 1697 13137 15990 7048 3237 18254 17282 13626
151,20 8241 3686 1806 12668 5264 10211 2861 14642 7369
152,8571 467 11937 13755 13759 17344 1614 2685 4175 12505
153,8982 4634 4657 3806 17955 5645 8638 4361 15892 197 
