user_id,item_list
0,10227 6289 5113 6404 8982 10466 5562 8638 4410 8666
1,8483 8638 5113 15892 4410 18096 8982 5297 6289 5645
2,4657 4658 11733 10068 1212 4279 10227 8666 6526 11734
4,4634 10068 12469 4728 8666 5562 10067 194 9461 5297
5,5645 5297 6798 5113 12194 6292 5610 10466 8638 4410
6,10227 4844 6343 5113 7310 7642 8666 8111 8635 5897
7,5113 6798 4057 3827 8481 12469 8982 10466 8638 8483
8,5192 5189 5190 15120 4526 5196 4657 5174 15119 2301
9,9303 8483 3806 8982 10227 4844 5297 7602 4657 4691
10,3901 16376 7642 8481 5297 192 17000 10469 15119 4279
11,18360 8186 10466 2730 131 4767 9229 10562 7581 11248
12,3529 10067 4634 6292 8179 9476 9461 4705 17558 15119
13,1023 194 3806 5142 5294 189 8564 8306 5143 6018
14,9302 3572 3565 8638 12469 10227 6526 10067 8414 8666
15,4691 187 197 8483 8481 8666 5142 10068 4658 7496
16,9202 9204 8982 7581 12469 9201 8638 3572 4410 15119
17,5645 3922 187 4361 9224 5143 6404 7581 5294 10227
18,4361 3806 6289 8638 10141 5294 8481 5297 10227 4629
19,8638 10466 4410 4361 4844 8481 192 7310 10227 7190
20,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
21,3572 3565 9461 6526 8414 8666 9208 8982 15100 3566
22,7496 5113 6289 4019 5297 8481 10067 8982 10227 8666
23,8638 3572 8666 5142 10067 2301 17955 7581 6289 8982 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
25,7310 8638 17955 5113 15892 10466 14847 2301 4844 6404
26,4361 3922 17955 197 9224 15892 8982 3572 3565 10227 
27,15102 12469 15099 15100 10227 8666 197 8414 1212 10067
28,8380 4634 14779 13831 7688 2519 389 16209 10012 9655
29,8481 6404 6292 5112 8638 5114 4410 4844 5562 10067
30,4280 17748 10068 6404 3572 7662 189 2301 3565 5593
31,4634 4658 10466 5297 4844 8638 15892 4410 5113 4361
32,4361 10227 15892 8481 5294 6289 15119 5297 8186 5645
33,8666 8414 3572 9461 7581 6526 15101 15100 15099 15119
34,4361 10466 8483 4844 6404 7310 3922 10227 9224 5114
35,4844 6404 5297 8638 5113 10227 8481 6793 6289 17955
36,16137 4191 16578 4193 4284 4657 5089 10155 5387 4034
39,7496 3565 8666 9461 3834 2301 197 4279 3572 5736
40,4652 9712 12194 8825 4448 5556 11270 13836 4179 8161
41,3922 4361 6292 5113 8982 8481 9103 5645 17955 4034 
42,4361 3922 8982 17955 5562 10466 4657 6289 3565 5113 
43,10227 14847 4844 8666 7581 2301 6289 5044 8481 8445
44,3568 15119 15101 3569 3572 13202 8627 12469 3565 15099
45,725 5562 3805 12469 197 7706 1212 4844 10068 15119
46,8638 17955 12469 7496 5297 3922 197 4361 8982 2301 
47,5297 17955 4343 5044 14451 4359 5296 3572 8982 3922
48,3922 4361 10466 17955 197 3806 5113 8982 4657 5296 
49,724 4844 5113 5562 12469 7581 3806 15119 14896 1212
50,12469 7581 8666 4728 5562 8638 10227 9461 2301 8982
51,724 4844 5113 5562 12469 7581 3806 15119 14896 1212
52,6798 8483 5610 4128 5700 10141 5113 11239 8564 10466
53,15114 15100 15099 12469 6404 9461 7581 8414 4844 8666
54,5562 7655 8638 6292 8483 8564 7671 5113 9303 9461
55,197 4280 192 187 194 4844 10068 10067 6404 12469
56,3572 3565 6526 5297 17955 3806 15908 197 6228 15892
57,5562 10466 4844 4361 10068 8638 3806 4410 6292 7310
59,5113 12469 1212 3572 10068 8982 8668 3565 17955 8666
60,7657 7661 7662 8363 5034 7172 7690 17955 4440 6404
61,4657 8638 7581 10227 4658 3572 10067 5297 3565 12469
62,2834 10837 11299 4149 4065 7882 7357 8328 9338 4937
63,10227 3572 5113 8666 6404 6289 4844 10466 10068 1212
64,197 192 194 187 8982 8481 8638 10227 3806 6404
65,9202 12469 7581 15102 15100 10227 8666 3572 6289 5562
66,5645 7135 4019 4018 7823 9303 5114 14808 10277 10067
67,8638 3572 8666 5142 10067 2301 17955 7581 6289 8982 
68,8638 17955 12469 7496 5297 3922 197 4361 8982 2301 
69,7496 7495 197 5752 3654 7493 187 5142 8666 8534
71,10227 6289 12469 5113 6404 6793 4844 2301 8483 15309
72,3922 4361 3572 8483 3565 1212 7581 6526 10227 8414
74,8638 10227 8982 2835 5291 6526 4657 9446 4634 8564
75,8202 13842 13298 3852 3569 18350 5175 6526 4762 7771
76,10067 9461 4657 8666 189 724 8481 9002 7602 5142 
77,7581 18096 3572 5142 7583 187 3565 5560 8483 8666
78,3565 725 3572 9199 8638 4844 12469 3566 8666 6404
79,4361 5297 6289 9014 14847 9303 15892 8984 5296 8638
80,8638 3806 6289 15908 735 1212 187 10466 4410 739
81,8638 8445 6404 10142 10227 6292 8982 14851 10067 12469
82,8638 3572 8666 5142 10067 2301 17955 7581 6289 8982 
84,3572 3565 8982 7581 3593 6526 8414 8984 12469 8666
85,197 5297 189 11734 7581 5113 194 3806 10227 192
86,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
87,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
88,5562 5508 9093 16176 8505 5645 6391 5113 8668 8638
89,5645 187 15892 8982 6292 5294 17955 6404 9461 9224
90,15908 197 736 17955 9133 8259 7642 11733 14727 8031
92,4361 3922 8982 17955 5562 10466 4657 6289 3565 5113 
93,10068 7581 5113 6404 8179 8483 10227 12469 6292 4657
