user_id,item_list
0,3569 6530 10227 13206 6404 17835 6289 3601 5700 5113
1,7259 16148 18073 7354 16460 8470 3278 4184 4355 16144
2,4657 4658 13206 11734 735 739 737 5732 13208 13837
4,4634 4728 14225 13393 13893 5644 4410 10142 1105 17766
5,9641 12196 4013 6798 12195 12194 6794 3146 5645 7352
6,14912 5305 4732 5590 8414 3095 5195 11715 1429 14958
7,4057 6798 10466 5112 4977 10469 11222 4220 7174 6289
8,5192 4526 4527 5189 5190 18140 5174 4763 16256 4774
9,4082 9303 4083 5297 4432 7602 4086 10469 16176 3835
10,3901 6288 13416 12557 4348 8478 6738 4210 18422 8529
11,18360 2730 4767 9196 17987 12527 3692 4784 5008 4790
12,4705 3529 4722 3534 3528 9476 6986 9477 3536 4721
13,4785 1023 4784 4487 5144 5133 5142 4779 4480 5118
14,5725 7885 6201 4702 6200 16463 7887 4703 9302 6209
15,18301 18299 12194 17661 17863 394 3698 1635 15708 5650
16,9202 9204 9201 9712 5297 11191 6167 7602 9446 9208
17,3251 7326 5645 5756 18081 6650 11890 187 16262 5296
18,8347 1689 9641 7326 1691 12368 3105 8257 6546 4440
19,7190 6289 8481 10466 8638 7581 7195 10067 3806 9714
20,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
21,3565 9208 6202 7368 3576 3572 3595 3566 6203 7592
22,7496 12257 4019 12355 3654 12358 18292 3655 5752 7490
23,8638 3572 8666 5142 10067 2301 17955 7581 6289 8982 
24,17955 8638 5113 10227 4657 197 8982 10466 3922 4361
25,10167 4082 12705 4081 3105 14847 4057 5645 5143 4128
26,4361 3922 17955 197 9224 15892 8982 3572 3565 10227 
27,15102 15099 4747 15100 13297 17558 12469 2234 4767 5044
28,2519 12341 3094 11393 2708 13206 6661 14779 3146 4310
29,4287 6170 6173 16137 5112 3942 4057 6289 7353 16849
30,17748 4280 15706 8473 3785 16307 5593 10067 5671 4008
31,4634 4658 6794 3516 5297 15223 5875 3514 5115 8483
32,16232 3983 18181 7258 6228 5113 16428 539 5294 5305
33,8414 15101 8666 6526 15099 7581 15100 9461 15118 8306
34,6174 6171 4361 3922 5114 5112 10466 4034 9224 8483
35,18153 4844 8505 6404 5297 8481 6289 5113 13210 8508
36,5089 4191 16137 7997 4187 661 4033 10157 10158 4284
39,18301 10194 18299 4795 1932 4792 3655 10192 5736 18193
40,4497 5752 5186 15594 4448 6786 4838 1241 15768 1041
41,3922 4361 6292 5113 8982 8481 9103 5645 17955 4034 
42,4361 3922 8982 17955 5562 10466 4657 6289 3565 5113 
43,5294 2301 10227 6289 4844 7581 14847 8445 5113 12194
44,3568 3569 15120 15119 15114 9477 13202 12469 8627 15101
45,725 3805 5562 5661 3806 7823 3835 7706 4748 6943
46,8638 17955 12469 7496 5297 3922 197 4361 8982 2301 
47,9236 3823 4035 7323 5297 7153 5296 15892 17735 7063
48,3922 4361 10466 17955 197 3806 5113 8982 4657 5296 
49,724 5508 17507 5695 3805 3806 5562 3387 4844 13838
50,9477 4728 9476 8666 9461 15030 7642 8564 2301 5275
51,724 5508 17507 3805 5695 3806 5562 3387 4844 13838
52,4128 8854 6356 5101 11653 8856 8853 4214 12516 8381
53,15114 15100 15099 9477 9709 12469 10725 3568 9461 3569
54,5562 3626 7655 4440 3629 3624 8542 5957 4439 7710
55,4280 197 192 194 6172 187 6171 6289 17835 5593
56,4346 6117 6118 4359 4967 4693 16376 9002 6526 3572
57,5562 17750 17752 3805 10466 3554 16099 5561 3654 16097
59,4128 5715 207 11301 4214 5144 5143 4762 15908 8638
60,7657 7661 7662 5603 4446 5602 4440 13388 3564 5957
61,3529 4657 9199 3530 9206 3531 9204 4658 9202 10142
62,15852 8563 11166 7118 14319 9599 7116 5135 11011 1879
63,3572 15101 3529 9092 7496 10068 5726 15227 15100 16178
64,4703 12815 197 3806 8347 5135 192 11733 194 736
65,9202 15102 15100 15227 5190 15223 12469 3568 9709 4790
66,7823 4019 4018 7135 4275 8872 192 5645 15120 7825
67,8638 3572 8666 5142 10067 2301 17955 7581 6289 8982 
68,8638 17955 12469 7496 5297 3922 197 4361 8982 2301 
69,11163 7496 5752 7495 7493 18248 9643 11833 10451 3654
71,11300 10846 4000 5113 5345 6432 10297 4151 8363 8569
72,8506 8570 8563 3922 17559 9224 4361 8569 3146 1105
74,11403 9446 10636 3698 12199 13348 14847 12181 14113 12749
75,3852 7771 8171 17601 17965 4209 12532 5703 11268 6231
76,10067 9461 4657 8666 189 724 8481 9002 7602 5142 
77,18096 7583 18097 18098 14244 17790 18092 4755 18100 1023
78,18231 18238 18236 725 9199 9203 3527 161 3565 7592
79,5294 15855 5287 8470 5296 3307 4360 15892 15853 8694
80,1944 739 735 736 18096 15908 5133 13838 738 13837
81,10142 14851 14867 9145 14852 3895 4806 9144 14870 3100
82,8638 3572 8666 5142 10067 2301 17955 7581 6289 8982 
84,3565 3572 16096 15496 8982 16104 3593 8414 16099 6526
85,4194 11734 4123 2233 9477 4193 197 11782 5433 4486
86,4361 17955 5297 3922 4657 8638 15892 4634 8982 7496 
87,4361 3922 17955 3806 8982 197 5113 4657 10466 6292 
88,9093 5562 16176 16179 8505 5508 4513 4514 15104 10112
89,5918 3654 5921 5645 5920 7495 4691 4687 14780 5296
90,9133 11309 11733 8937 11734 3827 7518 736 8382 9124
92,4361 3922 8982 17955 5562 10466 4657 6289 3565 5113 
93,10068 379 18094 254 18101 8179 6404 18093 15868 2971
94,7657 7659 4361 7661 12816 6881 16219 5113 4253 8223
95,15120 10068 521 9712 8516 6404 4691 15227 15222 15223
96,7581 6404 4280 10227 14800 16118 4702 5829 4279 4844
97,4194 4123 160 2775 17559 7446 7441 9302 6778 74
98,12469 8668 8445 8414 4279 15119 4657 4280 2301 9948
102,16659 9477 7198 15030 6167 7583 7197 5128 234 8668
103,5653 5044 5649 12410 5470 7478 5656 5664 10227 9104
104,8516 17547 8556 8519 3057 8513 8523 10175 3050 6215
105,3568 6831 6207 379 18094 18101 6530 6203 6204 6201
106,3970 6038 5296 16097 3943 4352 4361 5637 8638 3922
108,4284 7883 588 4361 657 6552 3922 7693 9446 4034
109,5653 5661 5044 10423 5664 2453 10063 12586 5649 4416
110,4357 7455 3898 16374 16376 4343 17870 8641 5143 3568
111,15114 3922 10068 657 4771 5896 7335 10167 16137 8668
112,4123 4124 4194 6213 17732 5370 4738 5350 17784 17782
113,187 4280 10068 6018 4844 8481 8635 8638 8179 5645
114,9204 9203 5561 9202 3805 3251 9206 3568 7589 3572
115,5113 5115 6018 4358 4037 10141 4018 13410 16722 18367
116,9128 11734 8564 11309 736 15908 8565 8570 8569 11733
117,6528 17989 8414 18360 8008 5113 6289 8666 15100 4057
118,3568 4779 4791 8668 5139 5593 2301 5143 14867 8635
119,8500 5645 10466 7310 6292 8179 5113 4291 6289 5297
120,7495 7493 5508 5561 3805 6182 6289 3842 7627 8542
122,5297 15674 14883 7310 12813 4024 15250 9456 11598 3902
123,15819 5483 3827 5481 12186 16222 16384 16227 4919 5523
124,17790 4748 9302 6207 6201 11834 6203 5401 6204 6200
125,5297 10227 12469 192 4634 9461 8186 8481 5291 197 
126,4634 18098 18097 10167 9303 17750 18092 18101 18100 3569
127,3572 3566 3593 8982 3582 7581 9446 8404 8414 8984
128,3105 4346 16092 9446 16105 4359 16376 14865 10141 3829
129,10068 7437 6289 7190 5113 8564 7199 8635 5369 9461
130,7657 7662 7661 4202 11929 3999 14436 5603 6931 4446
131,15892 5113 187 4634 4657 7661 192 8186 197 7310 
132,8982 4634 4657 3806 17955 5645 8638 4361 15892 197 
134,8849 5729 1904 4251 2500 5895 5896 5143 1595 2499
135,724 5508 17507 3805 5695 3806 5562 3387 4844 13838
136,14084 4732 2361 7216 13146 3095 10771 5063 6388 15686
137,4634 5645 11733 5297 7199 14847 12469 15892 11734 4657 
138,7455 8668 3845 3831 16376 12469 8414 6331 4640 2301
139,17951 9303 8666 6289 7581 8667 6165 8635 4696 8481
140,3902 11222 15854 11218 8724 5113 6165 8179 6692 5112
141,4657 15101 4634 15100 15099 4712 4731 4711 4727 7887
142,735 11734 11733 738 15908 13837 17550 5700 5681 5677
143,18096 1689 4798 1691 379 18094 18101 18097 8034 18098
144,8638 6289 197 2301 8982 3565 5113 8666 12469 10067 
145,6776 6780 15132 6445 1637 10024 14465 15705 5756 12766
146,4702 4710 4703 15217 4346 16740 4359 7433 4723 16376
149,4657 15114 5726 4279 6228 3806 5723 7657 8414 6528
150,12815 4128 3554 7490 7489 13137 15127 4219 3383 3363
151,9203 9202 4634 9204 9201 4658 10068 3901 5297 16224
152,4035 11395 4033 10914 9228 4124 66 6778 16661 5516
153,8982 4634 4657 3806 17955 5645 8638 4361 15892 197 
155,8515 4983 4985 3569 10141 3127 14852 5455 14865 3104
156,4280 15099 8500 15101 8506 15102 5561 5508 7651 7883
157,15458 16220 16211 16175 4037 17990 4410 16232 5700 5143
158,15398 18096 9302 15707 17594 14319 17597 3105 5196 10824
159,7662 7657 17750 10227 5677 5681 17748 5113 4844 8635
160,9053 6798 1944 5678 5677 6794 17560 6276 133 6796
161,3572 15800 3566 8736 3593 8737 5184 7584 8982 15216
